Year,Country,Partner Country,FTA,FTA Weight,Other Agreements,Tariff %,Product Tariffed,Weight in Exports
2023,JPN,THA,,1,,,,
2023,JPN,USA,,1,,,,
2023,KOR,MYS,,1,,,,
2023,KOR,SAU,,0,0.5,,,
2023,KOR,THA,,1,,,,
2023,KOR,USA,,1,,,,
2023,MYS,SAU,,0,0.5,,,
2023,MYS,THA,,1,,,,
2023,MYS,USA,,1,,,,
2023,SAU,THA,,1,,,,
2023,SAU,USA,,1,,,,
2023,THA,USA,,0,0.6,,,
2023,IDN,CHN,,1,,,,
2023,IDN,HKG,,1,,,,
2023,IDN,JPN,,1,,,,
2023,IDN,KOR,,1,,,,
2023,IDN,MYS,,1,,,,
2023,IDN,SAU,,0,,,,
2023,IDN,THA,,1,,,,
2023,IDN,SG,,1,,,,
2023,IDN,USA,,0,,,,
2024,SGP,CHN,,1,0.8,,,
2024,SGP,HKG,,1,0.8,,,
2024,SGP,JPN,,1,0.8,,,
2024,SGP,KOR,,1,0.8,,,
2024,SGP,MYS,ASEAN,1,1,,,
2024,SGP,SAU,,0,0.8,,,
2024,SGP,THA,ASEAN,1,0.9,,,
2024,SGP,USA,,1,1,,,
2024,CHN,HKG,,1,,,,
2024,CHN,JPN,,0,0.8,,,
2024,CHN,KOR,,1,,,,
2024,CHN,MYS,ACFTA,1,,,,
2024,CHN,SAU,,1,,,,
2024,CHN,THA,ACFTA,1,,,,
2024,CHN,USA,,0,0.5,20,,20
2024,HKG,JPN,,0,1,,,
2024,HKG,KOR,,0,1,,,
2024,HKG,MYS,,1,1,,,
2024,HKG,SAU,,0,0.5,,,
2024,HKG,THA,,1,1,,,
2024,HKG,USA,,0,1,,,
2024,JPN,KOR,,0,1,,,
2024,JPN,MYS,,1,,,,
2024,JPN,SAU,,0,0.6,,,
2024,JPN,THA,,1,,,,
2024,JPN,USA,,1,0.5,,,
2024,KOR,MYS,,1,,,,
2024,KOR,SAU,,0,0.5,,,
2024,KOR,THA,,1,,,,
2024,KOR,USA,,1,,,,
2024,MYS,SAU,,0,0.5,,,
2024,MYS,THA,,1,,,,
2024,MYS,USA,,0,0.5,,,
2024,SAU,THA,,0,0.6,,,
2024,SAU,USA,,0,1,,,
