Year,Product,HS Code,Country,Imports,Exports,Trade Volume
2016,Cosmetics & Fragrances,33.0,Indonesia,66799991.64,527805560.2,594605551.84
2016,Cosmetics & Fragrances,33.0,China,149733541.0,577767266.2,727500807.2
2016,Base Metal Products,83.0,Saudi Arabia,250024.306,1019665.044,1269689.35
2016,Electrical Equipment & AV Gear,85.0,United States,4539005777.0,7256463687.0,11795469464.0
2016,Electrical Equipment & AV Gear,85.0,Saudi Arabia,631600.581,73896832.46,74528433.041
2016,Electrical Equipment & AV Gear,85.0,South Korea,11670830117.0,6905745840.0,18576575957.0
2016,Electrical Equipment & AV Gear,85.0,Malaysia,11612526618.0,11640720811.0,23253247429.0
2016,Electrical Equipment & AV Gear,85.0,Japan,6253862794.0,4574631208.0,10828494002.0
2016,Electrical Equipment & AV Gear,85.0,Indonesia,2011978116.0,4895500960.0,6907479076.0
2016,Electrical Equipment & AV Gear,85.0,China,15775050491.0,18932950195.0,34708000686.0
2016,Other Chemicals,38.0,United States,1069646798.0,442899070.9,1512545868.9
2016,Other Chemicals,38.0,Thailand,24880161.94,302737471.9,327617633.84
2016,Other Chemicals,38.0,Saudi Arabia,11958937.07,19722287.5,31681224.57
2016,Other Chemicals,38.0,South Korea,79059832.65,540418769.8,619478602.4499999
2016,Other Chemicals,38.0,Malaysia,321838928.5,392528355.3,714367283.8
2016,Other Chemicals,38.0,Japan,289541254.5,334265690.0,623806944.5
2016,Other Chemicals,38.0,Indonesia,278529604.7,399482351.7,678011956.4
2016,Electrical Equipment & AV Gear,85.0,Thailand,1886155689.0,4546613372.0,6432769061.0
2016,Base Metal Products,83.0,Thailand,8844840.793,17801300.54,26646141.333
2016,Machinery & Boilers,84.0,United States,10081590799.0,5782361966.0,15863952765.0
2016,Jewellery & Precious Metals,71.0,United States,865112382.6,476899547.2,1342011929.8
2016,Machinery & Boilers,84.0,Saudi Arabia,8951569.615,270988734.2,279940303.815
2016,Machinery & Boilers,84.0,South Korea,779329170.5,2169943220.0,2949272390.5
2016,Machinery & Boilers,84.0,Malaysia,4128499934.0,4228653753.0,8357153687.0
2016,Machinery & Boilers,84.0,Japan,4057957666.0,2583218446.0,6641176112.0
