Country Code,Year,GDP,GDP_normalized
SAU,1997,165964000000.0,0.01934864850685802
SGP,1997,100124000000.0,0.011672797010801452
THA,1997,150180000000.0,0.017508496015762078
USA,1997,8577550000000.0,1.0
CHN,1998,1029060000000.0,0.11354743887664105
HKG,1998,168885000000.0,0.01863492820115593
JPN,1998,4098360000000.0,0.4522168596529557
KOR,1998,383332000000.0,0.04229720991920837
MYS,1998,72167498981.0,0.0079630290550844
SAU,1998,146775000000.0,0.0161952902076837
SGP,1998,85728207782.0,0.009459330294764765
THA,1998,113676000000.0,0.012543115718948407
USA,1998,9062820000000.0,1.0
CHN,1999,1094000000000.0,0.11358952235294362
HKG,1999,165768000000.0,0.01721161603418899
JPN,1999,4635980000000.0,0.481351694550091
KOR,1999,497514000000.0,0.05165665230704058
MYS,1999,79148421053.0,0.008217944554296103
SAU,1999,161717000000.0,0.01679100254693874
SGP,1999,86286849755.0,0.00895912435924192
THA,1999,126669000000.0,0.01315198464984005
USA,1999,9631170000000.0,1.0
CHN,2000,1211330000000.0,0.11816700809677105
HKG,2000,171669000000.0,0.0167465613110916
JPN,2000,4968360000000.0,0.48467076382791924
KOR,2000,576179000000.0,0.056207101746171106
MYS,2000,93789736842.0,0.009149325611354989
SAU,2000,189515000000.0,0.018487464637596332
SGP,2000,96076539926.0,0.009372406587259779
THA,2000,126392000000.0,0.012329723929372744
USA,2000,10251000000000.0,1.0
CHN,2001,1339400000000.0,0.12657462270480727
HKG,2001,169404000000.0,0.016008845292433307
JPN,2001,4374710000000.0,0.41341441518063865
KOR,2001,547656000000.0,0.05175403282964307
MYS,2001,92783947368.0,0.008768174653701132
SAU,2001,184138000000.0,0.017401222842778705
SGP,2001,89793790670.0,0.00848560189285478
THA,2001,120296000000.0,0.011368090796548824
USA,2001,10581900000000.0,1.0
CHN,2002,1470560000000.0,0.13455453788509575
HKG,2002,166349000000.0,0.015220740957626886
JPN,2002,4182850000000.0,0.382725933516941
KOR,2002,627247000000.0,0.05739237448646275
MYS,2002,100846000000.0,0.009227292274752724
SAU,2002,189606000000.0,0.017348729538571337
SGP,2002,92538372870.0,0.008467154008106798
THA,2002,134301000000.0,0.012288386051916443
USA,2002,10929100000000.0,1.0
CHN,2003,1660280000000.0,0.14492035089250643
HKG,2003,161386000000.0,0.014086850259677913
JPN,2003,4519560000000.0,0.39449744686422555
KOR,2003,702715000000.0,0.06133766857242613
MYS,2003,110202000000.0,0.00961916815781434
SAU,2003,215808000000.0,0.01883716667394056
SGP,2003,97646401096.0,0.008523231449046393
THA,2003,152281000000.0,0.013292104918605158
USA,2003,11456500000000.0,1.0
CHN,2004,1955350000000.0,0.160048947385653
HKG,2004,169100000000.0,0.013841141996529483
JPN,2004,4893120000000.0,0.4005107553285532
KOR,2004,793176000000.0,0.06492289558982418
MYS,2004,124749000000.0,0.01021093212847461
SAU,2004,258742000000.0,0.0211785024391841
SGP,2004,115034000000.0,0.009415741741151819
THA,2004,172896000000.0,0.014151851488066006
USA,2004,12217200000000.0,1.0
CHN,2005,2285960000000.0,0.175314436468495
HKG,2005,181569000000.0,0.013924857353211853
JPN,2005,4831470000000.0,0.3705342352291552
KOR,2005,934901000000.0,0.07169926069083993
MYS,2005,143534000000.0,0.011007883919258851
SAU,2005,328460000000.0,0.025190195717528684
SGP,2005,127808000000.0,0.009801828333026567
THA,2005,189318000000.0,0.014519142278667402
USA,2005,13039200000000.0,1.0
CHN,2006,2752120000000.0,0.1992037986044761
HKG,2006,193535000000.0,0.014008439734792554
JPN,2006,4601660000000.0,0.3330771012478647
KOR,2006,1053220000000.0,0.07623411216306204
MYS,2006,162692000000.0,0.011775963403688585
SAU,2006,376900000000.0,0.027280755088450737
SGP,2006,148627000000.0,0.010757911346593705
THA,2006,221758000000.0,0.016051275369871738
USA,2006,13815600000000.0,1.0
CHN,2007,3550330000000.0,0.24528678614362107
HKG,2007,211597000000.0,0.01461890812618314
JPN,2007,4579750000000.0,0.316407815285128
KOR,2007,1172610000000.0,0.08101380387171657
MYS,2007,193550000000.0,0.013372068922634758
SAU,2007,415965000000.0,0.028738375868787223
SGP,2007,180942000000.0,0.012501001782481933
THA,2007,262943000000.0,0.018166323527379753
USA,2007,14474200000000.0,1.0
CHN,2008,4594340000000.0,0.3110610092146866
HKG,2008,219279000000.0,0.01484634290008734
JPN,2008,5106680000000.0,0.3457491249094442
KOR,2008,1047340000000.0,0.07091043270435142
MYS,2008,230812000000.0,0.01562718772638948
SAU,2008,519797000000.0,0.035192993859132424
SGP,2008,193617000000.0,0.01310889037840473
THA,2008,291383000000.0,0.01972816335926445
USA,2008,14769900000000.0,1.0
CHN,2009,5101690000000.0,0.3523728942333593
HKG,2009,214048000000.0,0.014784260365655714
JPN,2009,5289490000000.0,0.36534420953025604
KOR,2009,943942000000.0,0.06519791961652427
MYS,2009,202257000000.0,0.013969857923346296
SAU,2009,429098000000.0,0.02963772870749615
SGP,2009,194150000000.0,0.013409908758745969
THA,2009,281711000000.0,0.019457732713546668
USA,2009,14478100000000.0,1.0
CHN,2010,6087190000000.0,0.4044913283274636
HKG,2010,228639000000.0,0.015192969632533724
JPN,2010,5759070000000.0,0.38268788623828826
KOR,2010,1143670000000.0,0.07599641172170908
MYS,2010,255018000000.0,0.016945843577646356
SAU,2010,528207000000.0,0.035099142800186056
SGP,2010,239808000000.0,0.015935145192371585
THA,2010,341105000000.0,0.02266629011894478
USA,2010,15049000000000.0,1.0
