reporteriso3,hs6,partneriso3,mfn,prf,PTA,hs2,sector,broad_sectors,pfm,reporter_region,reporter_dev,reporter_wbgroup,partner_region,partner_dev,partner_wbgroup
MYS,330720,SGP,0.0,0.0,1,33,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,480592,SGP,2.5,0.0,1,48,44-49  Wood & Wood Products,Manufacturing,2.5,EAS,South,Upper middle income,EAS,North,High income
MYS,292130,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,846291,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,722090,SGP,3.333334,0.0,1,72,72-83  Metals ,Manufacturing,3.333334,EAS,South,Upper middle income,EAS,North,High income
MYS,630790,SGP,10.0,0.0,1,63,50-63  Textiles,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
MYS,810296,SGP,0.0,0.0,1,81,72-83  Metals ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,844090,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,847170,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,810390,SGP,0.0,0.0,1,81,72-83  Metals ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,400591,SGP,27.5,0.0,1,40,39-40  Plastics / Rubbers,Manufacturing,27.5,EAS,South,Upper middle income,EAS,North,High income
MYS,731815,SGP,5.0,0.0,1,73,72-83  Metals ,Manufacturing,5.0,EAS,South,Upper middle income,EAS,North,High income
MYS,900290,SGP,0.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,854460,SGP,23.750002,0.0,1,85,84-85  Machinery / Electrical,Manufacturing,23.750002,EAS,South,Upper middle income,EAS,North,High income
MYS,480255,SGP,10.333333,0.0,1,48,44-49  Wood & Wood Products,Manufacturing,10.333333,EAS,South,Upper middle income,EAS,North,High income
MYS,821000,SGP,5.0,0.0,1,82,72-83  Metals ,Manufacturing,5.0,EAS,South,Upper middle income,EAS,North,High income
MYS,680800,SGP,20.0,0.0,1,68,68-71  Stone / Glass ,Manufacturing,20.0,EAS,South,Upper middle income,EAS,North,High income
MYS,611241,SGP,0.0,0.0,1,61,50-63  Textiles,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,283919,SGP,20.0,0.0,1,28,28-38  Chemicals & Allied Industries ,Manufacturing,20.0,EAS,South,Upper middle income,EAS,North,High income
MYS,900120,SGP,0.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,741011,SGP,0.0,0.0,1,74,72-83  Metals ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,630532,SGP,20.0,0.0,1,63,50-63  Textiles,Manufacturing,20.0,EAS,South,Upper middle income,EAS,North,High income
MYS,730719,SGP,15.000001,0.0,1,73,72-83  Metals ,Manufacturing,15.000001,EAS,South,Upper middle income,EAS,North,High income
MYS,846130,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,293213,SGP,0.0,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
MYS,160416,SGP,0.0,0.0,1,16,16-24  Foodstuffs,Agriculture,0.0,EAS,South,Upper middle income,EAS,North,High income
