Year,Country,Partner Country,Adjusted_value
2011,THA,KOR,1.0
2011,USA,KOR,0.0
2011,SAU,MYS,1.0
2011,THA,MYS,1.0
2011,USA,MYS,0.0
2011,THA,SAU,0.0
2011,USA,SAU,0.0
2011,USA,THA,0.0
2011,CHN,IDN,1.0
2011,HKG,IDN,1.0
2011,JPN,IDN,1.0
2011,KOR,IDN,0.0
2011,MYS,IDN,1.0
2011,SAU,IDN,0.0
2011,THA,IDN,1.0
2011,SG,IDN,1.0
2011,USA,IDN,0.0
2012,CHN,SGP,1.0
2012,HKG,SGP,0.0
2012,JPN,SGP,1.0
2012,KOR,SGP,1.0
2012,MYS,SGP,1.0
2012,SAU,SGP,0.0
2012,THA,SGP,1.0
2012,USA,SGP,1.0
2012,HKG,CHN,1.0
2012,JPN,CHN,0.0
2012,KOR,CHN,0.0
2012,MYS,CHN,1.0
2012,SAU,CHN,0.0
2012,THA,CHN,1.0
2012,USA,CHN,0.0
2012,JPN,HKG,0.0
2012,KOR,HKG,0.0
2012,MYS,HKG,1.0
2012,SAU,HKG,0.0
2012,THA,HKG,1.0
2012,USA,HKG,0.0
2012,KOR,JPN,0.0
2012,MYS,JPN,1.0
2012,SAU,JPN,0.0
2012,THA,JPN,1.0
2012,USA,JPN,0.0
2012,MYS,KOR,1.0
2012,SAU,KOR,0.0
2012,THA,KOR,1.0
2012,USA,KOR,1.0
2012,SAU,MYS,1.0
2012,THA,MYS,1.0
2012,USA,MYS,0.0
2012,THA,SAU,0.0
2012,USA,SAU,0.0
2012,USA,THA,0.0
2012,CHN,IDN,1.0
2012,HKG,IDN,1.0
2012,JPN,IDN,1.0
2012,KOR,IDN,1.0
2012,MYS,IDN,1.0
2012,SAU,IDN,0.0
2012,THA,IDN,1.0
2012,SG,IDN,1.0
2012,USA,IDN,0.0
2013,CHN,SGP,1.0
2013,HKG,SGP,0.0
2013,JPN,SGP,1.0
2013,KOR,SGP,1.0
2013,MYS,SGP,1.0
2013,SAU,SGP,0.0
2013,THA,SGP,1.0
2013,USA,SGP,1.0
2013,HKG,CHN,1.0
2013,JPN,CHN,0.0
2013,KOR,CHN,0.0
2013,MYS,CHN,1.0
2013,SAU,CHN,0.0
2013,THA,CHN,1.0
2013,USA,CHN,0.0
2013,JPN,HKG,0.0
2013,KOR,HKG,0.0
2013,MYS,HKG,1.0
2013,SAU,HKG,0.0
2013,THA,HKG,1.0
2013,USA,HKG,0.0
2013,KOR,JPN,0.0
2013,MYS,JPN,1.0
2013,SAU,JPN,0.0
2013,THA,JPN,1.0
2013,USA,JPN,0.0
2013,MYS,KOR,1.0
2013,SAU,KOR,0.0
2013,THA,KOR,1.0
2013,USA,KOR,1.0
2013,SAU,MYS,1.0
2013,THA,MYS,1.0
2013,USA,MYS,0.0
2013,THA,SAU,0.0
2013,USA,SAU,0.0
2013,USA,THA,0.0
2013,CHN,IDN,1.0
2013,HKG,IDN,1.0
2013,JPN,IDN,1.0
2013,KOR,IDN,1.0
2013,MYS,IDN,1.0
2013,SAU,IDN,0.0
2013,THA,IDN,1.0
2013,SG,IDN,1.0
2013,USA,IDN,0.0
2014,CHN,SGP,1.0
2014,HKG,SGP,0.0
2014,JPN,SGP,1.0
2014,KOR,SGP,1.0
2014,MYS,SGP,1.0
2014,SAU,SGP,0.0
2014,THA,SGP,1.0
2014,USA,SGP,1.0
