Partner,HS Code,HS_Section,Predicted Exports,Target Year
United States of America,29.0,29,970716900.8370156,2026
United States of America,27.0,27,8048991845.309231,2026
Australia,All Products,All,17077980931.406425,2026
China,All Products,All,85492317797.16951,2026
Germany,All Products,All,10488599010.686033,2026
India,All Products,All,17329335100.94218,2026
Indonesia,All Products,All,54474185528.69339,2026
Japan,All Products,All,20290346474.847046,2026
Malaysia,All Products,All,32074510812.981808,2026
Philippines,All Products,All,13672489963.537416,2026
Saudi Arabia,All Products,All,3356290305.6214933,2026
South Korea,All Products,All,18897852945.12329,2026
Thailand,All Products,All,17729897112.906654,2026
United Arab Emirates,All Products,All,9403979996.093084,2026
United States of America,All Products,All,65265986815.41551,2026
Australia,90.0,90,1522224325.5709176,2027
Australia,85.0,85,18175156160.870697,2027
Australia,84.0,84,3878140942.770281,2027
Australia,83.0,83,65659969.13733051,2027
Australia,71.0,71,97191493.21257333,2027
Australia,39.0,39,586476957.2762355,2027
Australia,38.0,38,272065436.46649796,2027
Australia,33.0,33,65659969.13733051,2027
Australia,29.0,29,315391982.735945,2027
Australia,27.0,27,1351971941.7431629,2027
China,90.0,90,10374320858.451277,2027
China,85.0,85,26489122129.84347,2027
China,84.0,84,26489122129.84347,2027
China,83.0,83,65659969.13733051,2027
China,71.0,71,780228114.9456168,2027
China,39.0,39,5262474887.86046,2027
China,38.0,38,3422239554.6262517,2027
China,33.0,33,779578229.6221054,2027
China,29.0,29,3697691082.5645766,2027
China,27.0,27,17675644215.131363,2027
Germany,90.0,90,396495657.418109,2027
Germany,85.0,85,7847681779.61709,2027
Germany,84.0,84,3541085830.065462,2027
Germany,83.0,83,65659969.13733051,2027
Germany,71.0,71,106890475.45538767,2027
Germany,39.0,39,417099390.5088828,2027
Germany,38.0,38,168285850.6836257,2027
Germany,33.0,33,65659969.13733051,2027
Germany,29.0,29,109585949.5882568,2027
Germany,27.0,27,784534529.5040658,2027
India,90.0,90,1111918819.6770809,2027
India,85.0,85,14622978146.998653,2027
India,84.0,84,4319898835.537803,2027
India,83.0,83,65659969.13733051,2027
India,71.0,71,103229397.52993871,2027
India,39.0,39,640488970.8190676,2027
India,38.0,38,395129572.1048698,2027
India,33.0,33,86148335.0604224,2027
India,29.0,29,249567279.50323498,2027
India,27.0,27,1631311774.0725296,2027
Indonesia,90.0,90,5932371279.646498,2027
Indonesia,85.0,85,26489122129.84347,2027
Indonesia,84.0,84,15130634874.133509,2027
Indonesia,83.0,83,65659969.13733051,2027
Indonesia,71.0,71,484003957.863439,2027
Indonesia,39.0,39,2540430222.1076117,2027
Indonesia,38.0,38,1287866850.6708853,2027
Indonesia,33.0,33,249693019.42324784,2027
Indonesia,29.0,29,1118139414.9108584,2027
Indonesia,27.0,27,6540330994.8789625,2027
Japan,90.0,90,1116088118.9526749,2027
Japan,85.0,85,16707910011.85183,2027
Japan,84.0,84,5633604290.407893,2027
Japan,83.0,83,65659969.13733051,2027
Japan,71.0,71,133904312.09574702,2027
Japan,39.0,39,663017717.8406701,2027
Japan,38.0,38,305185288.50953454,2027
Japan,33.0,33,75575222.97592407,2027
Japan,29.0,29,383316960.4606276,2027
Japan,27.0,27,1719349742.2244616,2027
Malaysia,90.0,90,2429174196.1636987,2027
Malaysia,85.0,85,26453362442.92416,2027
Malaysia,84.0,84,8256855842.513057,2027
Malaysia,83.0,83,65659969.13733051,2027
Malaysia,71.0,71,207927080.92080098,2027
Malaysia,39.0,39,1232999746.6568294,2027
Malaysia,38.0,38,600177744.5367788,2027
Malaysia,33.0,33,106138979.68867941,2027
Malaysia,29.0,29,422036282.0658855,2027
Malaysia,27.0,27,2400462377.254775,2027
Philippines,90.0,90,1151639903.3008988,2027
Philippines,85.0,85,12614037487.978703,2027
Philippines,84.0,84,4188343799.336777,2027
Philippines,83.0,83,65659969.13733051,2027
Philippines,71.0,71,94117025.37965,2027
Philippines,39.0,39,380308280.8469143,2027
Philippines,38.0,38,211738518.7659912,2027
Philippines,33.0,33,65659969.13733051,2027
Philippines,29.0,29,303250081.8023192,2027
Philippines,27.0,27,1218437463.8246245,2027
Saudi Arabia,90.0,90,301548106.5705541,2027
Saudi Arabia,85.0,85,4156776062.939551,2027
Saudi Arabia,84.0,84,999528669.8348823,2027
Saudi Arabia,83.0,83,65659969.13733051,2027
Saudi Arabia,71.0,71,65659969.13733051,2027
Saudi Arabia,39.0,39,166451502.89137813,2027
Saudi Arabia,38.0,38,112024513.17680167,2027
Saudi Arabia,33.0,33,65659969.13733051,2027
